method,target,wiretap,wala-cge-0cfa-noreflect-intf-direct,wala-cge-0cfa-noreflect-intf-trans,wala-cge-0cfa-noreflect-intf-direct#depth_from_main,wala-cge-0cfa-noreflect-intf-direct#src_node_in_deg,wala-cge-0cfa-noreflect-intf-direct#dest_node_out_deg,wala-cge-0cfa-noreflect-intf-direct#dest_node_in_deg,wala-cge-0cfa-noreflect-intf-direct#src_node_out_deg,wala-cge-0cfa-noreflect-intf-direct#repeated_edges,wala-cge-0cfa-noreflect-intf-direct#node_disjoint_paths_from_main,wala-cge-0cfa-noreflect-intf-direct#edge_disjoint_paths_from_main,wala-cge-0cfa-noreflect-intf-direct#fanout,wala-cge-0cfa-noreflect-intf-direct#graph_node_count,wala-cge-0cfa-noreflect-intf-direct#graph_edge_count,wala-cge-0cfa-noreflect-intf-direct#graph_avg_deg,wala-cge-0cfa-noreflect-intf-direct#graph_avg_edge_fanout,wala-cge-0cfa-noreflect-intf-trans#depth_from_main,wala-cge-0cfa-noreflect-intf-trans#src_node_in_deg,wala-cge-0cfa-noreflect-intf-trans#dest_node_out_deg,wala-cge-0cfa-noreflect-intf-trans#dest_node_in_deg,wala-cge-0cfa-noreflect-intf-trans#src_node_out_deg,wala-cge-0cfa-noreflect-intf-trans#repeated_edges,wala-cge-0cfa-noreflect-intf-trans#node_disjoint_paths_from_main,wala-cge-0cfa-noreflect-intf-trans#edge_disjoint_paths_from_main,wala-cge-0cfa-noreflect-intf-trans#fanout,wala-cge-0cfa-noreflect-intf-trans#graph_node_count,wala-cge-0cfa-noreflect-intf-trans#graph_edge_count,wala-cge-0cfa-noreflect-intf-trans#graph_avg_deg,wala-cge-0cfa-noreflect-intf-trans#graph_avg_edge_fanout,color
<boot>,edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizer.main:([Ljava/lang/String;)V,1,1,1,0,0,5,1,12,1,1,1,12,243.0,473.0,1.9465020576131689,1.3382663847780127,0,0,9,1,16,1,1,1,16,243.0,605.0,2.4897119341563787,2.1173553719008265,red
gnu/trove/set/hash/THashSet.rehash:(I)V,gnu/trove/impl/hash/TObjectHash.throwObjectContractViolation:(Ljava/lang/Object;Ljava/lang/Object;)V,0,1,1,6,2,0,1,2,1,1,1,1,243.0,473.0,1.9465020576131689,1.3382663847780127,6,2,8,1,2,1,1,1,1,243.0,605.0,2.4897119341563787,2.1173553719008265,blue
gnu/trove/impl/Constants.<clinit>:()V,edu/columbia/stat/wood/pub/sequencememoizer/util/Pair.equals:(Ljava/lang/Object;)Z,0,0,1,1000000000,-1,-1,-1,-1,0,-1,-1,1000000000,243.0,473.0,1.9465020576131689,1.3382663847780127,1,1,2,36,48,12,1,1,4,243.0,605.0,2.4897119341563787,2.1173553719008265,blue
gnu/trove/impl/Constants.<clinit>:()V,edu/columbia/stat/wood/pub/sequencememoizer/util/Pair.hashCode:()I,0,0,1,1000000000,-1,-1,-1,-1,0,-1,-1,1000000000,243.0,473.0,1.9465020576131689,1.3382663847780127,1,1,0,36,48,12,1,1,4,243.0,605.0,2.4897119341563787,2.1173553719008265,blue
gnu/trove/impl/Constants.<clinit>:()V,edu/columbia/stat/wood/pub/sequencememoizer/util/Pair.equals:(Ljava/lang/Object;)Z,0,0,1,1000000000,-1,-1,-1,-1,0,-1,-1,1000000000,243.0,473.0,1.9465020576131689,1.3382663847780127,1,1,2,36,48,12,1,1,4,243.0,605.0,2.4897119341563787,2.1173553719008265,blue
gnu/trove/impl/Constants.<clinit>:()V,edu/columbia/stat/wood/pub/sequencememoizer/util/Pair.hashCode:()I,0,0,1,1000000000,-1,-1,-1,-1,0,-1,-1,1000000000,243.0,473.0,1.9465020576131689,1.3382663847780127,1,1,0,36,48,12,1,1,4,243.0,605.0,2.4897119341563787,2.1173553719008265,blue
edu/columbia/stat/wood/pub/sequencememoizer/util/IntSamplingNode.randomCustomersToSample:()Ledu/columbia/stat/wood/pub/sequencememoizer/util/Pair;,edu/columbia/stat/wood/pub/sequencememoizer/util/SampleWithoutReplacement.sampleWithoutReplacement:(ILedu/columbia/stat/wood/pub/sequencememoizer/util/MersenneTwisterFast;)[I,1,1,1,6,1,1,1,14,1,1,1,1,243.0,473.0,1.9465020576131689,1.3382663847780127,6,1,1,1,14,1,1,1,1,243.0,605.0,2.4897119341563787,2.1173553719008265,red
edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizerParameters.<init>:(I)V,edu/columbia/stat/wood/pub/sequencememoizer/util/IntUniformDiscreteDistribution.<init>:(I)V,1,1,1,2,1,0,1,2,1,1,1,1,243.0,473.0,1.9465020576131689,1.3382663847780127,2,1,0,1,2,1,1,1,1,243.0,605.0,2.4897119341563787,2.1173553719008265,red
edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizer.continueSequence:(I)D,edu/columbia/stat/wood/pub/sequencememoizer/util/IntUniformDiscreteDistribution.probability:(I)D,1,1,1,3,1,0,7,11,1,1,1,1,243.0,473.0,1.9465020576131689,1.3382663847780127,3,1,0,7,11,1,1,1,1,243.0,605.0,2.4897119341563787,2.1173553719008265,red
edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizer.score:()D,edu/columbia/stat/wood/pub/sequencememoizer/util/IntUniformDiscreteDistribution.probability:(I)D,1,1,1,4,4,0,7,2,1,1,1,1,243.0,473.0,1.9465020576131689,1.3382663847780127,4,4,0,7,2,1,1,1,1,243.0,605.0,2.4897119341563787,2.1173553719008265,red
